target_set_version,target_family,target_key,target_label,target_year,central_value,plausible_lower,plausible_upper,unit,interval_kind,provenance_class,source_id,source_url_or_doi,range_method,rationale,last_reviewed
calibration-target-ranges-v1,headline,infection_deaths_millions,Infection deaths (millions),2025,6.4,4.7,8.5,millions,derived_plausible_range,source_informed_transformed,gbd_33_bacterial_pathogens_2019,https://pubmed.ncbi.nlm.nih.gov/36423648/,Scale the published 5.7-10.2 million UI by 6.4/7.7.,"The point target is the model-scope organism-target sum, not the published GBD total. Scaling the published interval preserves its relative width while matching the model numerator; the result is a derived plausible range.",2026-07-28
calibration-target-ranges-v1,headline,people_on_antibiotics_millions,People on antibiotics on an average day (millions),2025,100.0,70.0,150.0,millions,expert_plausible_range,source_informed_transformed,who_glass_amu_and_global_spatial_model,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antibacterial-consumption--total-consumption-of-antibacterials-expressed-as-ddd-per-1000-inhabitants-per-day,Expert conversion range from DDD/day to unique current users.,"WHO describes DDD/1000/day as only a rough proxy for people treated. The range spans uncertainty in dose intensity, combination treatment, data coverage, stock-versus-use measurement, and conversion to unique users.",2026-07-28
calibration-target-ranges-v1,headline,annual_infection_incidence_percent,Incidence of bacterial infection per year (%),2025,15.0,10.0,25.0,percent,expert_plausible_range,expert_best_guess_placeholder,model_scope_pathogen_incidence_synthesis,,Expert range around the all-bacteria model-scope incidence anchor.,No harmonised global count exists for all modelled bacterial infection episodes. The range reflects heterogeneous pathogen and syndrome estimates and uncertainty in same-day polymicrobial episode counting.,2026-07-28
calibration-target-ranges-v1,headline,sepsis_incident_cases_millions,Incident cases of sepsis (millions),2025,30.0,20.0,47.0,millions,derived_plausible_range,source_informed_transformed,rudd_global_sepsis_2017_bacterial_subset,https://pubmed.ncbi.nlm.nih.gov/31954465/,Apply a broad 50%-75% bacterial-share assumption to the published 38.9-62.9 million all-cause sepsis UI.,"Rudd et al. estimate all-cause sepsis, whereas the model includes bacterial infections only. This is therefore a transformed plausible range, not a published 95% interval for bacterial sepsis.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Penicillins (J01C),Penicillins (J01C),2025,17.910448,12.0,24.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Beta-lactamase combinations (J01CR),Beta-lactamase combinations (J01CR),2025,17.910448,14.0,25.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 1-2G,Cephalosporins 1-2G,2025,9.950249,6.0,14.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 3G,Cephalosporins 3G,2025,4.975124,3.0,8.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 3G/BLI,Cephalosporins 3G/BLI,2025,0.497512,0.1,1.2,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 4G,Cephalosporins 4G,2025,1.99005,1.0,4.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
