region,source_region,un_location_code,year,age,population_thousands,source_row
north_america,Northern America,905,2023,0,4064.0855,19558
north_america,Northern America,905,2023,1,4091.0665,19558
north_america,Northern America,905,2023,2,4048.4465,19558
north_america,Northern America,905,2023,3,4106.846,19558
north_america,Northern America,905,2023,4,4219.4035,19558
north_america,Northern America,905,2023,5,4304.487,19558
north_america,Northern America,905,2023,6,4413.1645,19558
north_america,Northern America,905,2023,7,4508.541,19558
north_america,Northern America,905,2023,8,4562.135,19558
north_america,Northern America,905,2023,9,4571.83,19558
north_america,Northern America,905,2023,10,4585.581,19558
north_america,Northern America,905,2023,11,4625.234,19558
north_america,Northern America,905,2023,12,4679.399,19558
north_america,Northern America,905,2023,13,4782.2975,19558
north_america,Northern America,905,2023,14,4907.053,19558
north_america,Northern America,905,2023,15,4999.5215,19558
north_america,Northern America,905,2023,16,5014.687,19558
north_america,Northern America,905,2023,17,4947.3755,19558
north_america,Northern America,905,2023,18,4895.2915,19558
north_america,Northern America,905,2023,19,4896.316,19558
north_america,Northern America,905,2023,20,4894.872,19558
north_america,Northern America,905,2023,21,4926.691,19558
north_america,Northern America,905,2023,22,5010.958,19558
north_america,Northern America,905,2023,23,5027.9535,19558
north_america,Northern America,905,2023,24,4997.9155,19558
north_america,Northern America,905,2023,25,4991.5125,19558
north_america,Northern America,905,2023,26,5013.3105,19558
north_america,Northern America,905,2023,27,5072.0815,19558
north_america,Northern America,905,2023,28,5149.361,19558
north_america,Northern America,905,2023,29,5244.104,19558
north_america,Northern America,905,2023,30,5350.4975,19558
north_america,Northern America,905,2023,31,5458.321,19558
north_america,Northern America,905,2023,32,5553.071,19558
north_america,Northern America,905,2023,33,5540.7795,19558
north_america,Northern America,905,2023,34,5438.7665,19558
north_america,Northern America,905,2023,35,5352.2725,19558
north_america,Northern America,905,2023,36,5291.5985,19558
north_america,Northern America,905,2023,37,5278.9335,19558
north_america,Northern America,905,2023,38,5250.7475,19558
north_america,Northern America,905,2023,39,5203.746,19558
north_america,Northern America,905,2023,40,5197.731,19558
north_america,Northern America,905,2023,41,5173.318,19558
north_america,Northern America,905,2023,42,5124.532,19558
north_america,Northern America,905,2023,43,5047.2845,19558
north_america,Northern America,905,2023,44,4910.1095,19558
north_america,Northern America,905,2023,45,4804.5785,19558
north_america,Northern America,905,2023,46,4690.4275,19558
north_america,Northern America,905,2023,47,4576.383,19558
north_america,Northern America,905,2023,48,4536.549,19558
north_america,Northern America,905,2023,49,4495.7775,19558
north_america,Northern America,905,2023,50,4502.82,19558
north_america,Northern America,905,2023,51,4660.227,19558
north_america,Northern America,905,2023,52,4842.1615,19558
north_america,Northern America,905,2023,53,4812.846,19558
north_america,Northern America,905,2023,54,4660.9745,19558
north_america,Northern America,905,2023,55,4590.8375,19558
north_america,Northern America,905,2023,56,4620.362,19558
north_america,Northern America,905,2023,57,4715.015,19558
north_america,Northern America,905,2023,58,4857.676,19558
