parameter,region,initial_age_min_days,initial_age_max_days,configured_weight,baseline_effective_weight
demo_asia_age_neg40000_neg36000,asia,-40000,-36000,0.108,0.108
demo_asia_age_neg36000_neg32000,asia,-36000,-32000,0.099,0.099
demo_asia_age_neg32000_neg28000,asia,-32000,-28000,0.09,0.09
demo_asia_age_neg28000_neg24000,asia,-28000,-24000,0.081,0.081
demo_asia_age_neg24000_neg20000,asia,-24000,-20000,0.072,0.072
demo_asia_age_neg20000_neg16000,asia,-20000,-16000,0.063,0.063
demo_asia_age_neg16000_neg12000,asia,-16000,-12000,0.054,0.054
demo_asia_age_neg12000_neg8000,asia,-12000,-8000,0.045,0.045
demo_asia_age_neg8000_neg4000,asia,-8000,-4000,0.036,0.036
demo_asia_age_neg4000_0,asia,-4000,0,0.027,0.0
demo_asia_age_0_4000,asia,0,4000,0.022,0.022
demo_asia_age_4000_8000,asia,4000,8000,0.019,0.019
demo_asia_age_8000_12000,asia,8000,12000,0.016,0.016
demo_asia_age_12000_16000,asia,12000,16000,0.013,0.013
demo_asia_age_16000_20000,asia,16000,20000,0.009,0.009
demo_asia_age_20000_24000,asia,20000,24000,0.006,0.006
demo_asia_age_24000_28000,asia,24000,28000,0.003,0.003
demo_asia_age_28000_32000,asia,28000,32000,0.001,0.001
demo_africa_age_neg40000_neg36000,africa,-40000,-36000,0.033,0.033
demo_africa_age_neg36000_neg32000,africa,-36000,-32000,0.03,0.03
demo_africa_age_neg32000_neg28000,africa,-32000,-28000,0.028,0.028
demo_africa_age_neg28000_neg24000,africa,-28000,-24000,0.025,0.025
demo_africa_age_neg24000_neg20000,africa,-24000,-20000,0.023,0.023
demo_africa_age_neg20000_neg16000,africa,-20000,-16000,0.02,0.02
demo_africa_age_neg16000_neg12000,africa,-16000,-12000,0.018,0.018
demo_africa_age_neg12000_neg8000,africa,-12000,-8000,0.015,0.015
demo_africa_age_neg8000_neg4000,africa,-8000,-4000,0.013,0.013
demo_africa_age_neg4000_0,africa,-4000,0,0.01,0.0
demo_africa_age_0_4000,africa,0,4000,0.009,0.009
demo_africa_age_4000_8000,africa,4000,8000,0.007,0.007
demo_africa_age_8000_12000,africa,8000,12000,0.005,0.005
demo_africa_age_12000_16000,africa,12000,16000,0.004,0.004
demo_africa_age_16000_20000,africa,16000,20000,0.002,0.002
demo_africa_age_20000_24000,africa,20000,24000,0.001,0.001
demo_africa_age_24000_28000,africa,24000,28000,0.001,0.001
demo_africa_age_28000_32000,africa,28000,32000,0.001,0.001
demo_europe_age_neg40000_neg36000,europe,-40000,-36000,0.02,0.02
demo_europe_age_neg36000_neg32000,europe,-36000,-32000,0.018,0.018
demo_europe_age_neg32000_neg28000,europe,-32000,-28000,0.016,0.016
demo_europe_age_neg28000_neg24000,europe,-28000,-24000,0.015,0.015
demo_europe_age_neg24000_neg20000,europe,-24000,-20000,0.014,0.014
demo_europe_age_neg20000_neg16000,europe,-20000,-16000,0.013,0.013
demo_europe_age_neg16000_neg12000,europe,-16000,-12000,0.012,0.012
demo_europe_age_neg12000_neg8000,europe,-12000,-8000,0.011,0.011
demo_europe_age_neg8000_neg4000,europe,-8000,-4000,0.01,0.01
demo_europe_age_neg4000_0,europe,-4000,0,0.009,0.0
demo_europe_age_0_4000,europe,0,4000,0.008,0.008
demo_europe_age_4000_8000,europe,4000,8000,0.007,0.007
demo_europe_age_8000_12000,europe,8000,12000,0.006,0.006
demo_europe_age_12000_16000,europe,12000,16000,0.005,0.005
demo_europe_age_16000_20000,europe,16000,20000,0.004,0.004
