Bacteria,annual_infection_proportion,notes
acinetobacter baumannii,0.00015,"Hospital-acquired; ~1.2 million serious infections globally/year (Lancet GRAM 2022)"
citrobacter spp.,0.00008,"Opportunistic; healthcare-associated UTIs and bacteremia"
enterobacter spp.,0.00012,"Healthcare-associated; ~1 million infections globally/year"
enterococcus faecalis,0.00025,"Common in UTIs, endocarditis; ~2 million infections globally/year"
enterococcus faecium,0.00015,"Healthcare-associated; rising due to VRE (Lancet GRAM 2022)"
escherichia coli,0.025,"Most common bacterial pathogen; #1 cause of bloodstream infections (Lancet GRAM 2022); UTIs, diarrheal disease"
klebsiella pneumoniae,0.0015,"Pneumonia, UTIs, bacteremia; ~12 million infections globally/year (Lancet GRAM 2022)"
morganella spp.,0.00005,"Rare opportunistic pathogen"
proteus spp.,0.0003,"UTIs especially catheter-associated"
serratia spp.,0.00006,"Healthcare-associated opportunistic"
pseudomonas aeruginosa,0.0004,"Hospital-acquired pneumonia, burns, CF patients (Lancet GRAM 2022)"
stenotrophomonas maltophilia,0.00003,"Hospital-acquired in immunocompromised"
staphylococcus aureus,0.01,"Global burden including skin/soft tissue and invasive disease (Lancet GRAM 2022)"
staphylococcus epidermidis,0.0002,"Device-related infections; often underreported"
streptococcus pneumoniae,0.02,"Pneumonia, meningitis, otitis media; includes all age groups (Lancet GRAM 2022)"
salmonella enterica serovar typhi,0.0019,"Typhoid fever; ~15 million cases/year (WHO 2024)"
salmonella enterica serovar paratyphi a,0.0006,"Paratyphoid fever; ~5 million cases/year (WHO)"
invasive non-typhoidal salmonella spp.,0.0004,"Bacteremia especially in Africa; ~3 million cases/year"
shigella spp.,0.024,"Bacillary dysentery; ~188 million cases/year globally (WHO FERG)"
neisseria gonorrhoeae,0.01,"Gonorrhea; ~82 million new cases/year globally (WHO 2024)"
streptococcus pyogenes,0.002,"Pharyngitis, skin infections, invasive disease (GAS)"
streptococcus agalactiae,0.0003,"Neonatal sepsis/meningitis, adult infections (GBS)"
haemophilus influenzae,0.0008,"Respiratory infections, meningitis (reduced by Hib vaccine)"
chlamydia trachomatis,0.016,"Most common bacterial STI; ~129 million cases/year (WHO 2024)"
vibrio cholerae,0.0005,"Cholera; 1.3-4 million cases/year in endemic areas (WHO)"
neisseria meningitidis,0.00006,"Meningitis and septicemia; ~500,000 cases/year"
listeria monocytogenes,0.000004,"Listeriosis; rare but severe; WHO FERG estimates"
clostridioides difficile,0.00025,"CDI; Adjusted for global incidence estimation"
campylobacter jejuni,0.012,"Leading cause of bacterial gastroenteritis; ~96 million cases (WHO FERG)"
enterobacter cloacae,0.0001,"Healthcare-associated; subset of Enterobacter spp."
yersinia enterocolitica,0.00005,"Foodborne gastroenteritis"
moraxella catarrhalis,0.0008,"Otitis media, respiratory infections in children/elderly"
treponema pallidum,0.001,"Syphilis; ~8 million new cases/year (WHO 2024 update)"
bordetella pertussis,0.002,"Pertussis (whooping cough); ~16 million cases/year"
helicobacter pylori,0.025,"Estimated 5% annual symptomatic incidence among 50% carrier population"
mdr mycobacterium tuberculosis,0.00005,"MDR-TB; ~400,000-500,000 new cases/year globally (WHO 2024)"
