target_set_version,target_family,target_key,target_label,target_year,central_value,plausible_lower,plausible_upper,unit,interval_kind,provenance_class,source_id,source_url_or_doi,range_method,rationale,last_reviewed
calibration-target-ranges-v1,headline,infection_deaths_millions,Infection deaths (millions),2025,7.7,5.7,10.2,millions,published_uncertainty_range,published_source_range,gbd_33_bacterial_pathogens_2019,https://pubmed.ncbi.nlm.nih.gov/36423648/,Published GBD 2019 95% uncertainty interval.,The published 7.7 million estimate is used unchanged as a pragmatic calibration benchmark. The model's organism set and target year differ slightly; those differences are documented rather than encoded as a precision-implying numerical adjustment.,2026-07-28
calibration-target-ranges-v1,headline,people_on_antibiotics_millions,People on antibiotics on an average day (millions),2025,100.0,70.0,150.0,millions,expert_plausible_range,source_informed_transformed,who_glass_amu_and_global_spatial_model,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/antibacterial-consumption--total-consumption-of-antibacterials-expressed-as-ddd-per-1000-inhabitants-per-day,Expert conversion range from DDD/day to unique current users.,"WHO describes DDD/1000/day as only a rough proxy for people treated. The range spans uncertainty in dose intensity, combination treatment, data coverage, stock-versus-use measurement, and conversion to unique users.",2026-07-28
calibration-target-ranges-v1,headline,annual_infection_incidence_percent,Incidence of bacterial infection per year (%),2025,15.0,10.0,25.0,percent,expert_plausible_range,expert_best_guess_placeholder,model_scope_pathogen_incidence_synthesis,,Expert range around the all-bacteria model-scope incidence anchor.,No harmonised global count exists for all modelled bacterial infection episodes. The range reflects heterogeneous pathogen and syndrome estimates and uncertainty in same-day polymicrobial episode counting.,2026-07-28
calibration-target-ranges-v1,headline,sepsis_incident_cases_millions,Incident cases of sepsis (millions),2025,70.0,50.0,100.0,millions,derived_plausible_range,source_informed_transformed,gbd_2021_global_sepsis_2025_bacterial_subset,https://pubmed.ncbi.nlm.nih.gov/41135560/,Use a broad 50-100 million bacterial-subset range within the published 135-201 million all-cause sepsis UI for 2021.,"GBD estimates 166 million all-cause sepsis cases in 2021. The model is bacteria-only and excludes viral, fungal, and parasitic sepsis while not representing the full burden of sepsis complicating non-infectious causes. The 70 million central target and 50-100 million range are explicit model-scope assumptions, not a published GBD point estimate or interval.",2026-08-18
calibration-target-ranges-v1,drug_class_share,Penicillins (J01C),Penicillins (J01C),2025,17.910448,12.0,24.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Beta-lactamase combinations (J01CR),Beta-lactamase combinations (J01CR),2025,17.910448,14.0,25.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 1-2G,Cephalosporins 1-2G,2025,9.950249,6.0,14.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 3G,Cephalosporins 3G,2025,4.975124,3.0,8.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 3G/BLI,Cephalosporins 3G/BLI,2025,0.497512,0.1,1.2,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Cephalosporins 4G,Cephalosporins 4G,2025,1.99005,1.0,4.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Anti-MRSA Cephalosporins (5G),Anti-MRSA Cephalosporins (5G),2025,0.199005,0.03,0.6,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Siderophore Cephalosporins,Siderophore Cephalosporins,2025,0.099502,0.01,0.4,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Novel BL/BLI,Novel BL/BLI,2025,0.199005,0.03,0.8,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Monobactams,Monobactams,2025,0.497512,0.1,1.5,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Macrolides (J01F),Macrolides (J01F),2025,10.945274,7.0,15.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Lincosamides (J01FF),Lincosamides (J01FF),2025,1.99005,1.0,4.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Quinolones/Fluoroquinolones (J01M),Quinolones/Fluoroquinolones (J01M),2025,9.950249,6.0,15.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Tetracyclines (J01A),Tetracyclines (J01A),2025,5.970149,3.0,10.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Carbapenems (J01DH),Carbapenems (J01DH),2025,1.99005,1.0,4.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Aminoglycosides (J01G),Aminoglycosides (J01G),2025,1.99005,1.0,4.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Sulfonamides (J01E),Sulfonamides (J01E),2025,3.9801,2.0,8.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Nitrofurans (J01XE),Nitrofurans (J01XE),2025,2.985075,1.5,7.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Fosfomycin (J01XX01),Fosfomycin (J01XX01),2025,0.995025,0.3,2.5,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Glycopeptides (J01XA),Glycopeptides (J01XA),2025,1.99005,0.8,4.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Lipoglycopeptides & Oxazolidinones,Lipoglycopeptides & Oxazolidinones,2025,0.995025,0.3,2.5,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Lipopeptides (J01XX09),Lipopeptides (J01XX09),2025,0.497512,0.1,1.5,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Fidaxomicin,Fidaxomicin,2025,0.099502,0.01,0.4,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Nitroimidazoles,Nitroimidazoles,2025,0.995025,0.3,3.0,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Polymyxins (J01XB),Polymyxins (J01XB),2025,0.049751,0.005,0.2,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Rifamycins (J04AB),Rifamycins (J04AB),2025,0.149254,0.03,0.6,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Chloramphenicol (J01BA),Chloramphenicol (J01BA),2025,0.099502,0.01,0.5,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,drug_class_share,Other Antibiotics,Other Antibiotics,2025,0.099502,0.01,0.6,percent,expert_plausible_range,source_informed_transformed,who_glass_amu_2022_and_existing_coarse_class_ranges,https://www.who.int/publications/i/item/9789240108127,Marginal expert range informed by heterogeneous national class-use data and data/number_on_drug_by_class.csv.,"The 28 class shares form one composition, but these marginal ranges are not a joint confidence region and are not required to sum to 100%.",2026-07-28
calibration-target-ranges-v1,infection_incidence,acinetobacter baumannii,acinetobacter baumannii,2025,0.00015,7.5e-05,0.0003,proportion,expert_plausible_range,source_informed_transformed,canonical_target_note_source_unresolved,,0.5x-2x multiplicative range around a source-informed central estimate.,"Range tier follows the provenance wording in the canonical target note; it is a display-only plausible range, not a statistical confidence interval.",2026-07-28
calibration-target-ranges-v1,infection_incidence,citrobacter spp.,citrobacter spp.,2025,8e-05,2.7e-05,0.00024,proportion,expert_plausible_range,expert_best_guess_placeholder,canonical_target_note_source_unresolved,,Broad one-third-to-threefold range where source precision is unresolved.,"Range tier follows the provenance wording in the canonical target note; it is a display-only plausible range, not a statistical confidence interval.",2026-07-28
calibration-target-ranges-v1,infection_incidence,enterobacter spp.,enterobacter spp.,2025,0.00012,3e-05,0.00048,proportion,expert_plausible_range,expert_best_guess_placeholder,canonical_target_note_source_unresolved,,Broad 0.25x-4x multiplicative range for an explicitly uncertain placeholder.,"Range tier follows the provenance wording in the canonical target note; it is a display-only plausible range, not a statistical confidence interval.",2026-07-28
calibration-target-ranges-v1,infection_incidence,enterococcus faecalis,enterococcus faecalis,2025,0.00025,8.3e-05,0.00075,proportion,expert_plausible_range,expert_best_guess_placeholder,canonical_target_note_source_unresolved,,Broad one-third-to-threefold range where source precision is unresolved.,"Range tier follows the provenance wording in the canonical target note; it is a display-only plausible range, not a statistical confidence interval.",2026-07-28
calibration-target-ranges-v1,infection_incidence,enterococcus faecium,enterococcus faecium,2025,0.00015,7.5e-05,0.0003,proportion,expert_plausible_range,source_informed_transformed,canonical_target_note_source_unresolved,,0.5x-2x multiplicative range around a source-informed central estimate.,"Range tier follows the provenance wording in the canonical target note; it is a display-only plausible range, not a statistical confidence interval.",2026-07-28
