source_id,source_type,description,url
legacy_prevalence_note__acinetobacter_baumannii,legacy_bacterium_level_note,Carbapenem resistance (CRAB) >50% globally (WHO priority); colistin resistance rising (GLASS 2022). aztreonam_avibactam/tetracycline dotted (pass 2): aztreonam inactive vs Acinetobacter (outer membrane); tetracycline not used for Acinetobacter treatment (both potency 0.10).,
legacy_prevalence_note__citrobacter_spp,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. amoxicillin/ampicillin/cefazolin/cephalexin/ceftaroline dotted (pass 2): intrinsic AmpC beta-lactamase resistance; not used clinically (all potency 0.10).,
legacy_prevalence_note__enterobacter_spp,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. amoxicillin/ampicillin/cefazolin/cephalexin/ceftaroline dotted (pass 2): intrinsic AmpC; not used clinically (all potency 0.10).,
legacy_prevalence_note__enterococcus_faecalis,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. fidaxomicin dotted (pass 2): C. diff-specific drug; not used for Enterococcus (potency 0.10).,
legacy_prevalence_note__enterococcus_faecium,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. fidaxomicin dotted (pass 2): C. diff-specific drug; not used for Enterococcus (potency 0.10).,
legacy_prevalence_note__escherichia_coli,legacy_bacterium_level_note,3rd-gen cephalosporin resistance (ESBL) ~15-25%; carbapenem resistance remains low (<3%) globally (Lancet GRAM 2022).,
legacy_prevalence_note__klebsiella_pneumoniae,legacy_bacterium_level_note,Carbapenem-resistant (CRKP) ~10-15%; high ESBL prevalence in clinical isolates. nitrofurantoin dotted (pass 1): intrinsic resistance (potency 0.050 - not used for Klebsiella treatment). amoxicillin/ampicillin dotted (pass 2): intrinsic SHV-1 chromosomal beta-lactamase; not used for Klebsiella (potency 0.10).,
legacy_prevalence_note__morganella_spp,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. nitrofurantoin dotted (pass 1): intrinsic resistance (potency 0.050). 5 drugs dotted (pass 2): intrinsic AmpC (ceftaroline) and intrinsic tetracycline-family efflux including tigecycline (no EUCAST clinical breakpoints for Morganella; all potency 0.10).,
legacy_prevalence_note__proteus_spp,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. nitrofurantoin dotted (pass 1): intrinsic resistance (potency 0.050). 4 drugs dotted (pass 2): intrinsic tetracycline-family efflux and ceftaroline poor activity (all potency 0.10; no EUCAST breakpoints).,
legacy_prevalence_note__serratia_spp,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. nitrofurantoin dotted (pass 1): intrinsic resistance (potency 0.050). 4 drugs dotted (pass 2): intrinsic AmpC (ceftaroline) and intrinsic tetracycline-family efflux including tigecycline (no EUCAST breakpoints for Serratia; all potency 0.10).,
