region,age_group,observed_within_under80_share,target_within_under80_share,predicted_within_under80_share,observed_within_region_share,un_within_region_share
asia,0_5,0.12263572828810675,0.08739275639668008,0.08739275639668007,0.12154335884081968,0.08585039596443009
asia,6_14,0.16693961122866416,0.14644284038898583,0.14644284038898586,0.16545260794345712,0.14385832821755315
asia,15_49,0.5019858064523508,0.5213415790248311,0.5213415790248311,0.4975144018658174,0.5121406262648015
asia,50_79,0.2084388540308783,0.24482282418950307,0.24482282418950296,0.20658219904990946,0.24050204232484124
africa,0_5,0.12082868968655001,0.17072228878101406,0.17072228878101403,0.11974340767494669,0.16994040923390202
africa,6_14,0.16925933354989872,0.22543065537117102,0.22543065537117102,0.16773904800782916,0.22439822064934703
africa,15_49,0.504371118917284,0.4926355176988828,0.49263551769888275,0.4998408628667287,0.49037932936975503
africa,50_79,0.2055408578462671,0.11121153814893216,0.11121153814893213,0.20369469203706442,0.11070220789274601
europe,0_5,0.10606470305246024,0.05955406943364328,0.05955406943364327,0.10350449277437523,0.05633516773680294
europe,6_14,0.1434965610818789,0.10438125239980224,0.10438125239980221,0.14003281338845472,0.09873943826915889
europe,15_49,0.4761580669489615,0.46416109529982885,0.4641610952998288,0.46466447160657076,0.4390731550217485
europe,50_79,0.2742806689166994,0.37190358286672565,0.3719035828667256,0.2676600291804693,0.3518021677101246
north_america,0_5,0.11792644855414837,0.0796445370442058,0.0796445370442058,0.1160196714752745,0.07717732985245898
north_america,6_14,0.16055245194137477,0.1302653734490866,0.1302653734490866,0.15795644621855134,0.12623004751039998
north_america,15_49,0.49356001906468433,0.5022473742285045,0.5022473742285045,0.4855795452783568,0.4866888892435929
north_america,50_79,0.22796108043979263,0.2878427152782031,0.28784271527820315,0.22427513069410576,0.27892600054066696
south_america,0_5,0.13007952438543285,0.08327398914542646,0.08327398914542646,0.12870830617807255,0.08165422173023
south_america,6_14,0.1741024989871937,0.13652941939047414,0.13652941939047417,0.1722672177030249,0.133873777370513
south_america,15_49,0.4940471713577354,0.5352440310102559,0.5352440310102559,0.4888392304472715,0.524832966889204
south_america,50_79,0.20177080526963811,0.24495256045384348,0.24495256045384356,0.1996438617463847,0.240187973338902
oceania,0_5,0.11757385691842573,0.09299405469635867,0.09299405469635869,0.11493636464112536,0.09006363021647491
oceania,6_14,0.1373837013459931,0.14103917000775115,0.14103917000775115,0.13430182191442522,0.13659475000947588
oceania,15_49,0.5032735342625821,0.49893605423951776,0.49893605423951776,0.4919837790841994,0.48321360368056454
oceania,50_79,0.24176890747299912,0.2670307210563725,0.2670307210563725,0.23634539204989102,0.25861606095342676
