year,region,bacteria,mean,std,p5,p25,p50,p75,p95,units,source_quality,notes
1930,north_america,acinetobacter_baumannii,562.9797256573692,140.7449314143423,337.7878353944215,450.38378052589536,562.9797256573692,675.575670788843,900.7675610517908,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,citrobacter_spp.,670.3089992877609,167.57724982194023,402.1853995726565,536.2471994302088,670.3089992877609,804.3707991453131,1072.4943988604175,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,enterobacter_spp.,728.085939802341,182.0214849505853,436.8515638814046,582.4687518418729,728.085939802341,873.7031277628092,1164.9375036837455,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,enterococcus_faecalis,667.3812927323098,166.84532318307745,400.4287756393859,533.9050341858479,667.3812927323098,800.8575512787718,1067.8100683716957,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,enterococcus_faecium,575.3315700025308,143.8328925006327,345.1989420015185,460.2652560020247,575.3315700025308,690.397884003037,920.5305120040492,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,escherichia_coli,971.8655153684072,242.96637884210185,583.1193092210443,777.4924122947259,971.8655153684072,1166.2386184420886,1554.9848245894518,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,klebsiella_pneumoniae,742.991390843566,185.7478477108915,445.7948345061396,594.3931126748529,742.991390843566,891.5896690122792,1188.7862253497058,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,morganella_spp.,666.6175306300677,166.65438265751692,399.9705183780406,533.2940245040542,666.6175306300677,799.9410367560812,1066.5880490081083,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,proteus_spp.,406.369522203481,101.59238055087025,243.82171332208856,325.0956177627848,406.369522203481,487.6434266441772,650.1912355255696,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
1930,north_america,serratia_spp.,387.64508120202345,96.91127030050586,232.58704872121405,310.1160649616188,387.64508120202345,465.1740974424281,620.2321299232376,cases_per_100k_per_year,synthetic_epidemiological_model,region_north_america_year_1930_detection_factor_1.00
