bacteria,drug,region,year,failure_rate,p5,p95,source_quality,notes
staphylococcus_aureus,amoxicillin,north_america,2019,0.7224999999999999,0.5057499999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
staphylococcus_aureus,amoxicillin,europe,2019,0.765,0.5355,0.95,clinical_trial_rwe,clinical_surveillance_2019
staphylococcus_aureus,amoxicillin,asia,2019,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
staphylococcus_aureus,amoxicillin,africa,2019,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
staphylococcus_aureus,amoxicillin,south_america,2019,0.935,0.6545,0.95,clinical_trial_rwe,clinical_surveillance_2019
staphylococcus_aureus,amoxicillin,oceania,2019,0.748,0.5236,0.95,clinical_trial_rwe,clinical_surveillance_2019
staphylococcus_aureus,amoxicillin,north_america,2020,0.7441749999999999,0.5209225,0.95,clinical_trial_rwe,clinical_surveillance_2020
staphylococcus_aureus,amoxicillin,europe,2020,0.78795,0.551565,0.95,clinical_trial_rwe,clinical_surveillance_2020
staphylococcus_aureus,amoxicillin,asia,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
staphylococcus_aureus,amoxicillin,africa,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
staphylococcus_aureus,amoxicillin,south_america,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
staphylococcus_aureus,amoxicillin,oceania,2020,0.77044,0.539308,0.95,clinical_trial_rwe,clinical_surveillance_2020
staphylococcus_aureus,amoxicillin,north_america,2021,0.7658499999999999,0.5360949999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
staphylococcus_aureus,amoxicillin,europe,2021,0.8109000000000001,0.56763,0.95,clinical_trial_rwe,clinical_surveillance_2021
staphylococcus_aureus,amoxicillin,asia,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
staphylococcus_aureus,amoxicillin,africa,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
staphylococcus_aureus,amoxicillin,south_america,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
staphylococcus_aureus,amoxicillin,oceania,2021,0.79288,0.555016,0.95,clinical_trial_rwe,clinical_surveillance_2021
staphylococcus_aureus,amoxicillin,north_america,2022,0.7875249999999999,0.5512674999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
staphylococcus_aureus,amoxicillin,europe,2022,0.8338500000000001,0.5836950000000001,0.95,clinical_trial_rwe,clinical_surveillance_2022
staphylococcus_aureus,amoxicillin,asia,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
staphylococcus_aureus,amoxicillin,africa,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
staphylococcus_aureus,amoxicillin,south_america,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
staphylococcus_aureus,amoxicillin,oceania,2022,0.81532,0.570724,0.95,clinical_trial_rwe,clinical_surveillance_2022
staphylococcus_aureus,amoxicillin,north_america,2023,0.8092,0.5664399999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
staphylococcus_aureus,amoxicillin,europe,2023,0.8568000000000001,0.5997600000000001,0.95,clinical_trial_rwe,clinical_surveillance_2023
staphylococcus_aureus,amoxicillin,asia,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
staphylococcus_aureus,amoxicillin,africa,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
staphylococcus_aureus,amoxicillin,south_america,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
staphylococcus_aureus,amoxicillin,oceania,2023,0.8377600000000001,0.586432,0.95,clinical_trial_rwe,clinical_surveillance_2023
staphylococcus_aureus,amoxicillin,north_america,2024,0.8308749999999998,0.5816124999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
staphylococcus_aureus,amoxicillin,europe,2024,0.8797499999999999,0.615825,0.95,clinical_trial_rwe,clinical_surveillance_2024
staphylococcus_aureus,amoxicillin,asia,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
staphylococcus_aureus,amoxicillin,africa,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
staphylococcus_aureus,amoxicillin,south_america,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
staphylococcus_aureus,amoxicillin,oceania,2024,0.8602,0.6021399999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
escherichia_coli,amoxicillin,north_america,2019,0.2975,0.20825,0.4165,clinical_trial_rwe,clinical_surveillance_2019
escherichia_coli,amoxicillin,europe,2019,0.315,0.2204999999999999,0.4409999999999999,clinical_trial_rwe,clinical_surveillance_2019
escherichia_coli,amoxicillin,asia,2019,0.4024999999999999,0.2817499999999999,0.5634999999999999,clinical_trial_rwe,clinical_surveillance_2019
escherichia_coli,amoxicillin,africa,2019,0.4375,0.3062499999999999,0.6124999999999999,clinical_trial_rwe,clinical_surveillance_2019
escherichia_coli,amoxicillin,south_america,2019,0.385,0.2694999999999999,0.5389999999999999,clinical_trial_rwe,clinical_surveillance_2019
escherichia_coli,amoxicillin,oceania,2019,0.308,0.2155999999999999,0.4311999999999999,clinical_trial_rwe,clinical_surveillance_2019
escherichia_coli,amoxicillin,north_america,2020,0.306425,0.2144974999999999,0.4289949999999999,clinical_trial_rwe,clinical_surveillance_2020
escherichia_coli,amoxicillin,europe,2020,0.32445,0.2271149999999999,0.4542299999999999,clinical_trial_rwe,clinical_surveillance_2020
escherichia_coli,amoxicillin,asia,2020,0.4145749999999999,0.2902025,0.580405,clinical_trial_rwe,clinical_surveillance_2020
escherichia_coli,amoxicillin,africa,2020,0.450625,0.3154375,0.630875,clinical_trial_rwe,clinical_surveillance_2020
escherichia_coli,amoxicillin,south_america,2020,0.39655,0.2775849999999999,0.5551699999999999,clinical_trial_rwe,clinical_surveillance_2020
escherichia_coli,amoxicillin,oceania,2020,0.31724,0.222068,0.444136,clinical_trial_rwe,clinical_surveillance_2020
escherichia_coli,amoxicillin,north_america,2021,0.31535,0.220745,0.44149,clinical_trial_rwe,clinical_surveillance_2021
escherichia_coli,amoxicillin,europe,2021,0.3339,0.23373,0.46746,clinical_trial_rwe,clinical_surveillance_2021
escherichia_coli,amoxicillin,asia,2021,0.42665,0.2986549999999999,0.5973099999999999,clinical_trial_rwe,clinical_surveillance_2021
escherichia_coli,amoxicillin,africa,2021,0.46375,0.324625,0.64925,clinical_trial_rwe,clinical_surveillance_2021
escherichia_coli,amoxicillin,south_america,2021,0.4081,0.28567,0.57134,clinical_trial_rwe,clinical_surveillance_2021
escherichia_coli,amoxicillin,oceania,2021,0.32648,0.228536,0.457072,clinical_trial_rwe,clinical_surveillance_2021
escherichia_coli,amoxicillin,north_america,2022,0.324275,0.2269925,0.453985,clinical_trial_rwe,clinical_surveillance_2022
escherichia_coli,amoxicillin,europe,2022,0.34335,0.240345,0.48069,clinical_trial_rwe,clinical_surveillance_2022
escherichia_coli,amoxicillin,asia,2022,0.438725,0.3071075,0.614215,clinical_trial_rwe,clinical_surveillance_2022
escherichia_coli,amoxicillin,africa,2022,0.476875,0.3338125,0.667625,clinical_trial_rwe,clinical_surveillance_2022
escherichia_coli,amoxicillin,south_america,2022,0.41965,0.293755,0.58751,clinical_trial_rwe,clinical_surveillance_2022
escherichia_coli,amoxicillin,oceania,2022,0.33572,0.235004,0.470008,clinical_trial_rwe,clinical_surveillance_2022
escherichia_coli,amoxicillin,north_america,2023,0.3332,0.2332399999999999,0.4664799999999999,clinical_trial_rwe,clinical_surveillance_2023
escherichia_coli,amoxicillin,europe,2023,0.3528,0.24696,0.49392,clinical_trial_rwe,clinical_surveillance_2023
escherichia_coli,amoxicillin,asia,2023,0.4508,0.31556,0.63112,clinical_trial_rwe,clinical_surveillance_2023
escherichia_coli,amoxicillin,africa,2023,0.49,0.343,0.686,clinical_trial_rwe,clinical_surveillance_2023
escherichia_coli,amoxicillin,south_america,2023,0.4312,0.30184,0.60368,clinical_trial_rwe,clinical_surveillance_2023
escherichia_coli,amoxicillin,oceania,2023,0.34496,0.241472,0.482944,clinical_trial_rwe,clinical_surveillance_2023
escherichia_coli,amoxicillin,north_america,2024,0.3421249999999999,0.2394874999999999,0.4789749999999999,clinical_trial_rwe,clinical_surveillance_2024
escherichia_coli,amoxicillin,europe,2024,0.3622499999999999,0.2535749999999999,0.5071499999999999,clinical_trial_rwe,clinical_surveillance_2024
escherichia_coli,amoxicillin,asia,2024,0.4628749999999999,0.3240124999999999,0.6480249999999999,clinical_trial_rwe,clinical_surveillance_2024
escherichia_coli,amoxicillin,africa,2024,0.5031249999999999,0.3521874999999999,0.7043749999999999,clinical_trial_rwe,clinical_surveillance_2024
