year,region,bacteria,mean,std,p5,p25,p50,p75,p95,units,source_quality,notes
1930,north_america,acinetobacter_baumannii,6.105925099477092,0.9158887649215638,4.884740079581674,5.495332589529383,6.105925099477092,6.716517609424802,7.937702629320221,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
1930,north_america,citrobacter_spp.,5.64,1.128,3.948,4.794,5.64,6.485999999999999,7.895999999999999,deaths_per_100k_per_year,synthetic_fallback,synthetic_fallback_region_north_america_year_1930
1930,north_america,enterobacter_spp.,10.34,2.068,7.237999999999999,8.789,10.34,11.890999999999998,14.476,deaths_per_100k_per_year,synthetic_fallback,synthetic_fallback_region_north_america_year_1930
1930,north_america,enterococcus_faecalis,1.7557569166879825,0.2633635375031973,1.4046055333503862,1.5801812250191842,1.7557569166879825,1.931332608356781,2.2824839916943773,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
1930,north_america,enterococcus_faecium,5.863662277777698,0.8795493416666548,4.690929822222159,5.277296049999928,5.863662277777698,6.450028505555468,7.622760961111008,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
1930,north_america,escherichia_coli,57.929142094926746,8.689371314239011,46.3433136759414,52.13622788543408,57.929142094926746,63.72205630441943,75.30788472340477,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
1930,north_america,klebsiella_pneumoniae,40.226134009765374,6.033920101464806,32.180907207812304,36.20352060878884,40.226134009765374,44.24874741074191,52.29397421269499,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
1930,north_america,morganella_spp.,3.76,0.752,2.632,3.196,3.76,4.324,5.263999999999999,deaths_per_100k_per_year,synthetic_fallback,synthetic_fallback_region_north_america_year_1930
1930,north_america,proteus_spp.,4.699999999999999,0.94,3.289999999999999,3.994999999999999,4.699999999999999,5.404999999999999,6.579999999999998,deaths_per_100k_per_year,synthetic_fallback,synthetic_fallback_region_north_america_year_1930
1930,north_america,serratia_spp.,8.459999999999999,1.692,5.921999999999999,7.190999999999999,8.459999999999999,9.728999999999996,11.843999999999998,deaths_per_100k_per_year,synthetic_fallback,synthetic_fallback_region_north_america_year_1930
1930,north_america,pseudomonas_aeruginosa,13.674549442170187,2.051182416325528,10.93963955373615,12.30709449795317,13.674549442170187,15.042004386387209,17.776914274821245,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
1930,north_america,staphylococcus_aureus,100.0,15.0,80.0,90.0,100.0,110.0,130.0,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
1930,north_america,streptococcus_pneumoniae,100.0,15.0,80.0,90.0,100.0,110.0,130.0,deaths_per_100k_per_year,empirical_pattern_extrapolated,based_on_empirical_patterns_region_north_america_year_1930
