parameter,source_line,region,initial_age_lower_days_inclusive,initial_age_upper_days_exclusive,configured_weight,age_pass_before,age_pass_multiplier,age_pass_fitted,choice_group,year_of_birth_lower_exclusive,year_of_birth_upper_inclusive,age_at_start_2025_lower_years,age_at_start_2025_upper_years,assessment,share_of_all_allocated_records_percent,share_within_region_allocated_records_percent
demo_asia_age_neg40000_neg36000,12225,asia,-40000,-36000,0.11448,0.11448,1,False,Unfitted future-birth cohort,2028.6301369863013,2039.5890410958905,-14.58904109589041,-3.6301369863013697,Inherited region-scaled prior; not observed by 2025; imposes forecast boundary jump,8.314329290435035,14.136125654450261
demo_asia_age_neg36000_neg32000,12226,asia,-36000,-32000,0.074370660332,0.10494,0.7086969728606822946445587955,True,Fitted conditional-under80 cohort,2017.6712328767123,2028.6301369863013,-3.6301369863013697,7.328767123287672,Matches applied regularized fit; not independently identified; validate with current survival,5.401311666206696,9.183377004346537
demo_asia_age_neg32000_neg28000,12227,asia,-32000,-28000,0.085931979163,0.0954,0.9007544985639412997903563941,True,Fitted conditional-under80 cohort,2006.7123287671234,2017.6712328767123,7.328767123287672,18.28767123287671,Matches applied regularized fit; not independently identified; validate with current survival,6.24097459241775,10.61098231292601
demo_asia_age_neg28000_neg24000,12228,asia,-28000,-24000,0.089102624883,0.08586,1.037766420719776380153738644,True,Fitted conditional-under80 cohort,1995.7534246575342,2006.7123287671234,18.28767123287671,29.246575342465754,Matches applied regularized fit; not independently identified; validate with current survival,6.471248811315274,11.002497392447891
demo_asia_age_neg24000_neg20000,12229,asia,-24000,-20000,0.080911186756,0.07632,1.060157059171907756813417191,True,Fitted conditional-under80 cohort,1984.7945205479452,1995.7534246575342,29.246575342465754,40.205479452054796,Matches applied regularized fit; not independently identified; validate with current survival,5.876329926356307,9.991008934604366
demo_asia_age_neg20000_neg16000,12230,asia,-20000,-16000,0.07259051055,0.06678,1.087009741689128481581311770,True,Fitted conditional-under80 cohort,1973.835616438356,1984.7945205479452,40.205479452054796,51.16438356164384,Matches applied regularized fit; not independently identified; validate with current survival,5.272024878349916,8.963562006075275
demo_asia_age_neg16000_neg12000,12231,asia,-16000,-12000,0.068980481563,0.05724,1.205109740793151642208245982,True,Fitted conditional-under80 cohort,1962.876712328767,1973.835616438356,51.16438356164384,62.12328767123287,Matches applied regularized fit; not independently identified; validate with current survival,5.009839608032537,8.517791361626989
demo_asia_age_neg12000_neg8000,12232,asia,-12000,-8000,0.056951752861,0.0477,1.193957083039832285115303983,True,Fitted conditional-under80 cohort,1951.9178082191781,1962.876712328767,62.12328767123287,73.08219178082192,Matches applied regularized fit; not independently identified; validate with current survival,4.136230144600189,7.032469729946656
demo_asia_age_neg8000_neg4000,12233,asia,-8000,-4000,0.043560803892,0.03816,1.141530500314465408805031447,True,Fitted conditional-under80 cohort,1940.958904109589,1951.9178082191781,73.08219178082192,84.04109589041096,Matches applied regularized fit; not independently identified; validate with current survival; overlaps 80+ in calibration window,3.1636868248965064,5.378939530277585
demo_asia_age_neg4000_0,12234,asia,-4000,0,0.02862,0.02862,1,False,"Restored 1930-1941 birth cohort, held fixed",1930.0,1940.958904109589,84.04109589041096,95.0,Not observed in legacy fitting baseline; requires separate older-age and survival validation,2.0785823226087587,3.5340314136125652
demo_asia_age_0_4000,12236,asia,0,4000,0.02332,0.02332,1,False,"Initially living cohort, held fixed",1919.041095890411,1930.0,95.0,105.95890410958904,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,1.6936596702738034,2.8795811518324608
