bacteria,drug,region,year,failure_rate,p5,p95,source_quality,notes
amoxicillin,s_aureus,north_america,2019,0.7224999999999999,0.5057499999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,s_aureus,europe,2019,0.765,0.5355,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,s_aureus,asia,2019,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,s_aureus,africa,2019,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,s_aureus,south_america,2019,0.935,0.6545,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,s_aureus,oceania,2019,0.748,0.5236,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,s_aureus,north_america,2020,0.7441749999999999,0.5209225,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,s_aureus,europe,2020,0.78795,0.551565,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,s_aureus,asia,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,s_aureus,africa,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,s_aureus,south_america,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,s_aureus,oceania,2020,0.77044,0.539308,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,s_aureus,north_america,2021,0.7658499999999999,0.5360949999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,s_aureus,europe,2021,0.8109000000000001,0.56763,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,s_aureus,asia,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,s_aureus,africa,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,s_aureus,south_america,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,s_aureus,oceania,2021,0.79288,0.555016,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,s_aureus,north_america,2022,0.7875249999999999,0.5512674999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,s_aureus,europe,2022,0.8338500000000001,0.5836950000000001,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,s_aureus,asia,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,s_aureus,africa,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,s_aureus,south_america,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,s_aureus,oceania,2022,0.81532,0.570724,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,s_aureus,north_america,2023,0.8092,0.5664399999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,s_aureus,europe,2023,0.8568000000000001,0.5997600000000001,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,s_aureus,asia,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,s_aureus,africa,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,s_aureus,south_america,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,s_aureus,oceania,2023,0.8377600000000001,0.586432,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,s_aureus,north_america,2024,0.8308749999999998,0.5816124999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,s_aureus,europe,2024,0.8797499999999999,0.615825,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,s_aureus,asia,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,s_aureus,africa,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,s_aureus,south_america,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,s_aureus,oceania,2024,0.8602,0.6021399999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,e_coli,north_america,2019,0.2975,0.20825,0.4165,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,e_coli,europe,2019,0.315,0.22049999999999997,0.44099999999999995,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,e_coli,asia,2019,0.40249999999999997,0.28174999999999994,0.5634999999999999,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,e_coli,africa,2019,0.4375,0.30624999999999997,0.6124999999999999,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,e_coli,south_america,2019,0.385,0.26949999999999996,0.5389999999999999,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,e_coli,oceania,2019,0.308,0.21559999999999999,0.43119999999999997,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,e_coli,north_america,2020,0.306425,0.21449749999999998,0.42899499999999996,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,e_coli,europe,2020,0.32445,0.22711499999999998,0.45422999999999997,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,e_coli,asia,2020,0.41457499999999997,0.2902025,0.580405,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,e_coli,africa,2020,0.450625,0.3154375,0.630875,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,e_coli,south_america,2020,0.39655,0.27758499999999997,0.5551699999999999,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,e_coli,oceania,2020,0.31724,0.222068,0.444136,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,e_coli,north_america,2021,0.31535,0.220745,0.44149,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,e_coli,europe,2021,0.33390000000000003,0.23373,0.46746,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,e_coli,asia,2021,0.42665,0.29865499999999995,0.5973099999999999,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,e_coli,africa,2021,0.46375,0.324625,0.64925,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,e_coli,south_america,2021,0.4081,0.28567,0.57134,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,e_coli,oceania,2021,0.32648,0.228536,0.457072,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,e_coli,north_america,2022,0.32427500000000004,0.2269925,0.453985,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,e_coli,europe,2022,0.34335000000000004,0.240345,0.48069,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,e_coli,asia,2022,0.438725,0.3071075,0.614215,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,e_coli,africa,2022,0.47687500000000005,0.3338125,0.667625,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,e_coli,south_america,2022,0.41965,0.293755,0.58751,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,e_coli,oceania,2022,0.33572,0.235004,0.470008,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,e_coli,north_america,2023,0.3332,0.23323999999999998,0.46647999999999995,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,e_coli,europe,2023,0.35280000000000006,0.24696,0.49392,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,e_coli,asia,2023,0.45080000000000003,0.31556,0.63112,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,e_coli,africa,2023,0.49000000000000005,0.343,0.686,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,e_coli,south_america,2023,0.4312,0.30184,0.60368,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,e_coli,oceania,2023,0.34496000000000004,0.24147200000000002,0.48294400000000004,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,e_coli,north_america,2024,0.34212499999999996,0.23948749999999996,0.47897499999999993,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,e_coli,europe,2024,0.36224999999999996,0.25357499999999994,0.5071499999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,e_coli,asia,2024,0.4628749999999999,0.3240124999999999,0.6480249999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,e_coli,africa,2024,0.5031249999999999,0.35218749999999993,0.7043749999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,e_coli,south_america,2024,0.44275,0.30992499999999995,0.6198499999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,e_coli,oceania,2024,0.35419999999999996,0.24793999999999997,0.49587999999999993,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,k_pneumoniae,north_america,2019,0.3825,0.26775,0.5355,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,k_pneumoniae,europe,2019,0.405,0.2835,0.567,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,k_pneumoniae,asia,2019,0.5175,0.36224999999999996,0.7244999999999999,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,k_pneumoniae,africa,2019,0.5625,0.39375,0.7875,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,k_pneumoniae,south_america,2019,0.49500000000000005,0.34650000000000003,0.6930000000000001,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,k_pneumoniae,oceania,2019,0.396,0.2772,0.5544,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,k_pneumoniae,north_america,2020,0.393975,0.2757825,0.551565,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,k_pneumoniae,europe,2020,0.41715,0.292005,0.58401,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,k_pneumoniae,asia,2020,0.533025,0.37311749999999994,0.7462349999999999,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,k_pneumoniae,africa,2020,0.579375,0.40556249999999994,0.8111249999999999,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,k_pneumoniae,south_america,2020,0.50985,0.356895,0.71379,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,k_pneumoniae,oceania,2020,0.40788,0.285516,0.571032,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,k_pneumoniae,north_america,2021,0.40545000000000003,0.283815,0.56763,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,k_pneumoniae,europe,2021,0.42930000000000007,0.30051000000000005,0.6010200000000001,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,k_pneumoniae,asia,2021,0.54855,0.38398499999999997,0.7679699999999999,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,k_pneumoniae,africa,2021,0.5962500000000001,0.417375,0.83475,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,k_pneumoniae,south_america,2021,0.5247,0.36729,0.73458,clinical_trial_rwe,clinical_surveillance_2021
