bacteria,drug,region,year,mic50,mic90,resistant_threshold,p5,p95,source_quality,notes
escherichia_coli,amoxicillin,north_america,2019,8.0,32.0,8.0,2.4,38.4,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,amoxicillin,europe,2019,8.8,35.2,8.0,2.64,42.24,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,amoxicillin,asia,2019,10.4,41.6,8.0,3.12,49.92,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,amoxicillin,africa,2019,11.2,44.8,8.0,3.36,53.76,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,amoxicillin,south_america,2019,9.6,38.4,8.0,2.88,46.08,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,amoxicillin,oceania,2019,7.6,30.4,8.0,2.28,36.48,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,amoxicillin,north_america,2020,8.4,33.6,8.0,2.52,40.32,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,amoxicillin,europe,2020,9.24,36.96,8.0,2.772,44.352,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,amoxicillin,asia,2020,10.92,43.68,8.0,3.276,52.416,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,amoxicillin,africa,2020,11.76,47.04,8.0,3.528,56.448,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,amoxicillin,south_america,2020,10.08,40.32,8.0,3.024,48.384,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,amoxicillin,oceania,2020,7.98,31.92,8.0,2.394,38.304,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,amoxicillin,north_america,2021,8.8,35.2,8.0,2.64,42.24,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,amoxicillin,europe,2021,9.68,38.72,8.0,2.904,46.464,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,amoxicillin,asia,2021,11.44,45.76,8.0,3.432,54.912,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,amoxicillin,africa,2021,12.32,49.28,8.0,3.696,59.136,eucast_clsi_surveillance,breakpoint_surveillance_2021
